"","year","song","artist","peak_pos","weeks_on_chart","instance"
"1650",2010,"Don't Cry For Me Argentina (Lea Michele Version)","Glee Cast",97,1,1
"1651",2003,"Don't Dream It's Over","Sixpence None The Richer",84,6,1
"1652",2013,"Don't Drop That Thun Thun!","The FiNATTiCZ",88,10,1
"1653",2009,"Don't Forget","Demi Lovato",84,9,2
"1654",2006,"Don't Forget About Us","Mariah Carey",81,21,1
"1655",2006,"Don't Forget To Remember Me","Carrie Underwood",98,17,1
"1656",2017,"Don't Get Too High","Bryson Tiller",89,1,1
"1657",2018,"Don't Go Breaking My Heart","Backstreet Boys",99,10,2
"1658",2010,"Don't Go Breaking My Heart","Glee Cast",50,1,1
"1659",2001,"Don't Happen Twice","Kenny Chesney",82,20,1
"1660",2011,"Don't Hold Your Breath","Nicole Scherzinger",86,1,1
"1661",2016,"Don't Hurt Yourself","Beyonce Featuring Jack White",28,2,1
"1662",2015,"Don't It","Billy Currington",91,20,1
"1663",2013,"Don't Judge Me","Chris Brown",95,20,1
"1664",2003,"Don't Know Why","Norah Jones",78,31,1
"1665",2014,"Don't Let Me Be Lonely","The Band Perry",97,16,1
"1666",2017,"Don't Let Me Down","The Chainsmokers Featuring Daya",85,52,2
"1667",2010,"Don't Let Me Fall","B.o.B",67,1,1
"1668",2002,"Don't Let Me Get Me","P!nk",60,21,1
"1669",2008,"Don't Let The Sun Go Down On Me","David Archuleta",58,1,1
"1670",2005,"Don't Lie","The Black Eyed Peas",81,20,1
"1671",2007,"Don't Make Me","Blake Shelton",93,6,1
"1672",2007,"Don't Matter","Akon",79,23,1
"1673",2018,"Don't Matter To Me","Drake Featuring Michael Jackson",9,5,1
"1674",2003,"Don't Mess With My Man","Nivea Featuring Brian & Brandon Casey",99,36,1
"1675",2001,"Don't Mess With The Radio","Nivea",90,3,1
"1676",2016,"Don't Mind","Kent Jones",63,20,1
"1677",2005,"Don't Phunk With My Heart","The Black Eyed Peas",97,26,1
"1678",2019,"Don't Pretend","Khalid x SAFE",84,1,1
"1679",2017,"Don't Quit","DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih",68,1,1
"1680",2009,"Don't Rain On My Parade","Glee Cast",53,1,1
"1681",2013,"Don't Rush","Kelly Clarkson Featuring Vince Gill",97,3,2
"1682",2002,"Don't Say Goodbye","Paulina Rubio",85,16,1
"1683",2002,"Don't Say No, Just Say Yes","Avant",99,4,2
"1684",2000,"Don't Say You Love Me","M2M",30,12,1
"1685",2009,"Don't Stand So Close To Me / Young Girl","Glee Cast",64,1,1
"1686",2014,"Don't Stop","5 Seconds Of Summer",47,3,1
"1687",2011,"Don't Stop","Glee Cast",79,1,1
"1688",2012,"Don't Stop (Color On The Walls)","Foster The People",98,9,2
"1689",2010,"Don't Stop Believin'","Glee Cast",78,7,4
"1690",2008,"Don't Stop The Music","Rihanna",94,30,1
"1691",2013,"Don't Stop The Party","Pitbull Featuring TJR",99,20,2
"1692",2011,"Don't Stop The Party","The Black Eyed Peas",93,4,1
"1693",2004,"Don't Take Your Love Away","Avant",74,20,1
"1694",2001,"Don't Talk","Jon B",79,14,1
"1695",2015,"Don't Tell 'Em","Jeremih Featuring YG",89,31,1
"1696",2004,"Don't Tell Me","Avril Lavigne",65,20,1
"1697",2001,"Don't Tell Me","Madonna",78,21,1
"1698",2009,"Don't Think I Can't Love You","Jake Owen",98,15,1
"1699",2008,"Don't Think I Don't Think About It","Darius Rucker",91,20,1
"1700",2001,"Don't Think I'm Not","Kandi",66,24,1
"1701",2013,"Don't Think They Know","Chris Brown Featuring Aaliyah",87,2,1
"1702",2016,"Don't Touch My Hair","Solange Featuring Sampha",91,1,1
"1703",2009,"Don't Trust Me","3OH!3",99,37,2
"1704",2006,"Don't Wait","Dashboard Confessional",81,4,2
"1705",2013,"Don't Wake Me Up","Chris Brown",89,28,2
"1706",2011,"Don't Wanna Go Home","Jason Derulo",92,15,1
"1707",2017,"Don't Wanna Know","Maroon 5 Featuring Kendrick Lamar",56,27,1
"1708",2003,"Don't Wanna Try","Frankie J",76,20,1
"1709",2005,"Don't Worry 'Bout A Thing","SHeDAISY",90,10,1
"1710",2013,"Don't Ya","Brett Eldredge",95,20,1
"1711",2002,"Don't You Forget It","Glenn Lewis",98,20,1
"1712",2011,"Don't You Wanna Stay","Jason Aldean With Kelly Clarkson",93,31,3
"1713",2011,"Don't You Want Me","Glee Cast",49,1,1
"1714",2013,"Don't You Worry Child","Swedish House Mafia Featuring John Martin",68,33,1
"1715",2012,"Donald Trump","Mac Miller",99,7,4
"1716",2018,"Done For Me","Charlie Puth Featuring Kehlani",74,9,1
"1717",2013,"DONE.","The Band Perry",87,20,1
"1718",2003,"dontchange","Musiq",75,26,1
"1719",2007,"Doomsday Clock","The Smashing Pumpkins",97,1,1
"1720",2013,"Dope","Lady Gaga",8,2,1
"1721",2013,"Dope","Tyga Featuring Rick Ross",68,10,1
"1722",2018,"Dope N****z","Lil Wayne Featuring Snoop Dogg",39,1,1
"1723",2018,"Dope New Gospel","Lil Wayne Featuring Nivea",90,1,1
"1724",2019,"Double Up","Nipsey Hussle Featuring Belly & DOM KENNEDY",65,3,1
"1725",2010,"Double Vision","3OH!3",89,4,2
"1726",2017,"Down","Fifth Harmony Featuring Gucci Mane",99,10,3
"1727",2010,"Down","Jay Sean Featuring Lil Wayne",72,40,1
"1728",2017,"Down","Marian Hill",99,17,1
"1729",2006,"Down","RKM & Ken-Y",92,3,2
"1730",2002,"Down 4 U","Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",74,20,1
"1731",2002,"Down A** Chick","Ja Rule Featuring Charli ""Chuck"" Baltimore",98,19,1
"1732",2005,"Down And Out","Cam'Ron Featuring Kanye West & Syleena Johnson",94,1,1
"1733",2016,"Down In The DM","Yo Gotti Featuring Nicki Minaj",87,21,1
"1734",2011,"Down On Me","Jeremih Featuring 50 Cent",67,33,1
"1735",2016,"Down That Road","Alisan Porter",100,1,1
"1736",2009,"Down The Road","Kenny Chesney With Mac McAnally",85,18,1
"1737",2009,"Down To Earth","Justin Bieber",79,1,1
"1738",2019,"Down To The Honkytonk","Jake Owen",80,13,1
"1739",2002,"Downfall","TRUSTcompany",92,4,1
"1740",2001,"Downtime","Jo Dee Messina",77,15,1
"1741",2013,"Downtown","Lady Antebellum",45,20,1
"1742",2016,"Downtown","Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",94,20,1
"1743",2018,"Downtown's Dead","Sam Hunt",98,2,2
"1744",2017,"Draco","Future",46,8,1
"1745",2016,"Drag Me Down","One Direction",3,20,1
"1746",2012,"Drank In My Cup","Kirko Bangz",96,22,1
"1747",2008,"Dream Big","David Cook",15,2,1
"1748",2001,"Dream On","Depeche Mode",85,10,1
"1749",2010,"Dream On","Glee Cast Featuring Neil Patrick Harris",26,2,1
"1750",2018,"Dreamcatcher","Metro Boomin Featuring Swae Lee & Travis Scott",72,1,1
"1751",2008,"Dreamer","Chris Brown",16,2,1
"1752",2007,"Dreaming With A Broken Heart","John Mayer",100,2,2
"1753",2004,"Dreams","Diana DeGarmo",14,5,1
"1754",2011,"Dreams","Glee Cast Featuring Kristin Chenoweth",92,1,1
"1755",2005,"Dreams","The Game",97,13,1
"1756",2008,"Dreams Collide","Colbie Caillat",96,1,1
"1757",2018,"Drew Barrymore","Bryce Vine",91,14,1
"1758",2002,"Drift & Die","Puddle Of Mudd",76,20,1
"1759",2003,"Drift Away","Uncle Kracker Featuring Dobie Gray",75,35,1
"1760",2015,"Drifting","G-Eazy Featuring Chris Brown & Tory Lanez",98,1,1
"1761",2014,"Drink A Beer","Luke Bryan",79,20,1
"1762",2012,"Drink In My Hand","Eric Church",96,20,1
"1763",2012,"Drink On It","Blake Shelton",81,19,1
"1764",2014,"Drink To That All Night","Jerrod Niemann",90,20,1
"1765",2004,"Drinkin' Bone","Tracy Byrd",74,16,1
"1766",2017,"Drinkin' Problem","Midland",97,20,1
"1767",2017,"Drinkin' Too Much","Sam Hunt",89,1,1
"1768",2015,"Drinking Class","Lee Brice",99,22,2
"1769",2018,"Drip","Cardi B Featuring Migos",21,10,1
"1770",2019,"Drip Too Hard","Lil Baby & Gunna",28,35,1
"1771",2001,"Drive","Incubus",75,39,1
"1772",2013,"Drive","Miley Cyrus",87,1,1
"1773",2002,"Drive (For Daddy Gene)","Alan Jackson",78,20,1
"1774",2012,"Drive By","Train",60,36,1
"1775",2010,"Driving Me Crazy","Sam Adams",90,1,1
"1776",2005,"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",51,30,1
"1777",2010,"Drop It Low","Ester Dean Featuring Chris Brown",94,17,1
"1778",2010,"Drop The World","Lil Wayne Featuring Eminem",18,20,1
"1779",2002,"Drops Of Jupiter (Tell Me)","Train",77,53,1
"1780",2017,"Drowning","A Boogie Wit da Hoodie Featuring Kodak Black",94,21,1
"1781",2002,"Drowning","Backstreet Boys",54,20,1
"1782",2018,"Drowns The Whiskey","Jason Aldean Featuring Miranda Lambert",98,19,2
"1783",2018,"Drug Addicts","Lil Pump",83,1,1
"1784",2005,"Drugs Or Jesus","Tim McGraw",97,9,1
"1785",2012,"Drummer Boy","Justin Bieber Featuring Busta Rhymes",99,2,2
"1786",2018,"Drunk Girl","Chris Janson",86,10,1
"1787",2014,"Drunk In Love","Beyonce Featuring Jay Z",12,20,1
"1788",2014,"Drunk Last Night","Eli Young Band",84,20,2
"1789",2019,"Drunk Me","Mitchell Tenpenny",100,21,2
"1790",2014,"Drunk On A Plane","Dierks Bentley",91,20,1
"1791",2012,"Drunk On You","Luke Bryan",99,24,2
"1792",2016,"Drunk On Your Love","Brett Eldredge",94,15,1
"1793",2018,"Dubai Shit","Huncho Jack Featuring Offset",83,1,1
"1794",2017,"Duckworth.","Kendrick Lamar",63,1,1
"1795",2004,"Dude","Beenie Man Featuring Ms. Thing",99,26,1
"1796",2016,"Duele El Corazon","Enrique Iglesias Featuring Wisin",86,8,1
"1797",2008,"Duffle Bag Boy","Playaz Circle Featuring Lil Wayne",91,20,1
"1798",2010,"Dumb Love","Sean Kingston",84,1,1
"1799",2018,"Dura","Daddy Yankee",81,21,1
"1800",2018,"Dusk Till Dawn","Zayn Featuring Sia",44,16,1
"1801",2014,"Dust","Eli Young Band",100,9,3
"1802",2011,"Dynamite","Taio Cruz",26,47,1
"1803",2005,"E-Pro","Beck",77,10,1
"1804",2001,"E.I.","Nelly",71,20,1
"1805",2011,"E.T.","Katy Perry Featuring Kanye West",42,30,2
"1806",2019,"Earfquake","Tyler, The Creator",13,4,1
"1807",2015,"Earned It (Fifty Shades Of Grey)","The Weeknd",49,43,1
"1808",2019,"Earth","Lil Dicky",17,6,1
"1809",2007,"Earth Intruders","Bjork",84,1,1
"1810",2019,"Easier","5 Seconds Of Summer",48,3,1
"1811",2019,"Eastside","benny blanco, Halsey & Khalid",16,48,1
"1812",2018,"Eastside","Benny Blanco, Halsey & Khalid",56,23,1
"1813",2007,"Easy","Paula DeAnda Featuring Bow Wow",96,11,1
"1814",2012,"Easy","Rascal Flatts Featuring Natasha Bedingfield",87,23,1
"1815",2013,"Easy","Sheryl Crow",99,8,2
"1816",2018,"Echame La Culpa","Luis Fonsi & Demi Lovato",47,19,1
"1817",2009,"Echo","Gorilla Zoe",82,9,1
"1818",2010,"Eenie Meenie","Sean Kingston & Justin Bieber",30,18,1
"1819",2009,"Ego","Beyonce",77,17,1
"1820",2010,"Eight Second Ride","Jake Owen",95,13,1
"1821",2017,"Either Way","Chris Stapleton",97,2,2
"1822",2017,"El Amante","Nicky Jam",99,15,6
"1823",2018,"El Bano","Enrique Iglesias Featuring Bad Bunny",98,1,1
"1824",2013,"El Cerrito Place","Kenny Chesney",92,13,1
"1825",2018,"El Farsante","Ozuna & Romeo Santos",92,20,1
"1826",2014,"El Perdedor","Enrique Iglesias Featuring Marco Antonio Solis",85,1,1
"1827",2015,"El Perdon (Forgiveness)","Nicky Jam & Enrique Iglesias",66,30,1
"1828",2011,"El Verdadero Amor Perdona","Mana Featuring Prince Royce",100,1,1
"1829",2015,"Elastic Heart","Sia",17,30,1
"1830",2008,"Eleanor Rigby","David Cook",92,1,1
"1831",2015,"Electric Body","A$AP Rocky Featuring ScHoolboy Q",80,2,1
"1832",2002,"Electrical Storm","U2",77,7,1
"1833",2019,"Electricity","Silk City x Dua Lipa",97,10,5
"1834",2017,"Element.","Kendrick Lamar",89,11,2
"1835",2018,"Elevate","Drake",14,3,1
"1836",2010,"Elevator","Eminem",67,1,1
"1837",2008,"Elevator","Flo Rida Featuring Timbaland",100,13,1
"1838",2019,"Ella Quiere Beber","Anuel AA & Romeo Santos",86,20,1
"1839",2005,"Ella Y Yo","Aventura Featuring Don Omar",97,1,1
"1840",2018,"Emoji A Chain","Migos",87,1,1
"1841",2002,"Emotion","Destiny's Child",65,20,1
"1842",2001,"Emotional","Carl Thomas",77,20,1
"1843",2003,"Emotional Rollercoaster","Vivian Green",83,19,1
"1844",2018,"Emotionless","Drake",8,4,1
"1845",2016,"Emperor's New Clothes","Panic! At The Disco",72,4,2
"1846",2014,"Empire","Shakira",58,12,1
"1847",2010,"Empire State Of Mind","Glee Cast",21,2,1
"1848",2010,"Empire State Of Mind","Jay-Z + Alicia Keys",50,30,1
"1849",2010,"Empire State Of Mind (Part II) Broken Down","Alicia Keys",55,1,1
"1850",2019,"Empty","Juice WRLD",41,3,1
"1851",2007,"Empty Walls","Serj Tankian",97,1,1
"1852",2010,"Enchanted","Taylor Swift",75,1,1
"1853",2005,"Encore","Eminem, Dr. Dre & 50 Cent",60,15,1
"1854",2018,"End Game","Taylor Swift Featuring Ed Sheeran & Future",86,13,1
"1855",2009,"Endless Love","Glee Cast",78,1,1
"1856",2015,"Energy","Drake",49,20,1
"1857",2008,"Energy","Keri Hilson",90,9,1
"1858",2005,"Energy","Natalie Featuring Baby Bash",87,8,1
"1859",2006,"Enough Cryin","Mary J. Blige Featuring Brook-Lyn",90,20,1
"1860",2012,"Enough Of No Love","Keyshia Cole Featuring Lil Wayne",94,9,1
"1861",2006,"Entourage","Omarion",85,5,1
"1862",2019,"Envy Me","Calboy",91,26,1
"1863",2009,"Epiphany (I'm Leaving)","Chrisette Michele",92,3,1
"1864",2010,"Erase Me","Kid Cudi Featuring Kanye West",22,5,1
"1865",2017,"Eraser","Ed Sheeran",90,1,1
"1866",2014,"Errrbody","Yo Gotti",98,1,1
"1867",2005,"Errtime","Nelly Featuring Jung Tru & King Jacob",55,6,1
"1868",2017,"Escapate Conmigo","Wisin Featuring Ozuna",89,20,1
"1869",2002,"Escape","Enrique Iglesias",70,20,1
"1870",2018,"Esskeetit","Lil Pump",24,12,1
"1871",2010,"Evacuate The Dancefloor","Cascada",80,26,1
"1872",2012,"Even If It Breaks Your Heart","Eli Young Band",91,20,1
"1873",2019,"Even Though I'm Leaving","Luke Combs",5,19,1
"1874",2006,"Ever The Same","Rob Thomas",92,20,1
"1875",2016,"Every Breath You Take","Hannah Huston",94,1,1
"1876",2008,"Every Day","Rascal Flatts",98,17,1
"1877",2006,"Every Day Is Exactly The Same","Nine Inch Nails",56,1,1
"1878",2009,"Every Girl","Young Money",96,20,1
"1879",2017,"Every Little Thing","Carly Pearce",94,17,1
"1880",2006,"Every Mile A Memory","Dierks Bentley",95,16,1
"1881",2001,"Every Other Time","LFO",65,18,1
"1882",2003,"Every River","Brooks & Dunn",75,5,1
"1883",2013,"Every Storm (Runs Out Of Rain)","Gary Allan",78,20,1
"1884",2011,"Every Teardrop Is A Waterfall","Coldplay",29,18,1
"1885",2017,"Every Time I Hear That Song","Blake Shelton",79,11,1
"1886",2006,"Every Time I Hear Your Name","Keith Anderson",99,19,1
"1887",2008,"Everybody","Keith Urban",98,19,1
"1888",2017,"Everybody","Logic",71,2,2
"1889",2016,"Everybody Dies","J. Cole",57,1,1
"1890",2017,"Everybody Dies In Their Nightmares","XXXTentacion",54,4,1
"1891",2018,"Everybody Dies In Their Nightmares","XXXTENTACION",42,7,2
"1892",2001,"Everybody Doesn't","Amanda",87,6,1
"1893",2018,"Everybody Hates Me","The Chainsmokers",100,1,1
"1894",2012,"Everybody Talks","Neon Trees",74,39,1
"1895",2009,"Everybody Wants To Go To Heaven","Kenny Chesney With The Wailers",94,20,2
"1896",2014,"Everybody's Got Somebody But Me","Hunter Hayes Featuring Jason Mraz",91,9,1
"1897",2015,"Everyday","A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson",92,2,1
"1898",2017,"Everyday","Ariana Grande Featuring Future",85,7,1
"1899",2018,"Everyday","Logic & Marshmello",43,13,1
"1900",2007,"Everyday","Zac Efron & Vanessa Anne Hudgens",90,2,1
"1901",2007,"Everyday America","Sugarland",95,10,1
"1902",2017,"Everyday We Lit","YFN Lucci Featuring PnB Rock",79,20,1
"1903",2004,"Everything","Alanis Morissette",97,9,2
"1904",2007,"Everything","Michael Buble",99,20,3
"1905",2017,"Everything 1K","Kodak Black",84,1,1
"1906",2013,"Everything Has Changed","Taylor Swift Featuring Ed Sheeran",91,20,3
"1907",2014,"Everything I Didn't Say","5 Seconds Of Summer",24,1,1
"1908",2014,"Everything I Shouldn't Be Thinking About","Thompson Square",95,12,1
"1909",2014,"Everything Is AWESOME!!!","Tegan And Sara Featuring The Lonely Island",62,3,1
"1910",2010,"Everything To Me","Monica",82,18,1
"1911",2000,"Everything You Want","Vertical Horizon",70,41,1
"1912",2018,"Everything's Gonna Be Alright","David Lee Murphy & Kenny Chesney",95,13,1
"1913",2018,"Everytime","Ariana Grande",62,1,1
"1914",2004,"Everytime","Britney Spears",61,18,1
"1915",2006,"Everytime Tha Beat Drop","Monica Featuring Dem Franchize Boyz",94,16,1
"1916",2006,"Everytime We Touch","Cascada",86,31,1
"1917",2002,"Everywhere","Michelle Branch",62,20,1
"1918",2014,"EW!","Jimmy Fallon Featuring will.i.am",26,2,1
"1919",2016,"Ex's & Oh's","Elle King",96,38,1
"1920",2016,"Exchange","Bryson Tiller",98,34,1
"1921",2003,"Excuse Me Miss","JAY-Z",53,19,1
"1922",2014,"Explosions","Ellie Goulding",100,1,1
"1923",2017,"Extra Luv","Future Featuring YG",99,1,1
"1924",2018,"Eye 2 Eye","Huncho Jack Featuring Takeoff",65,1,1
"1925",2019,"Eyes On You","Chase Rice",84,17,1
"1926",2012,"Eyes Open","Taylor Swift",19,13,1
"1927",2012,"Eyes Wide Open","Gotye",96,1,1
"1928",2004,"F.U.R.B. (F U Right Back)","Frankee",67,7,1
"1929",2011,"F**k Him He's A DJ","Ke$ha",97,1,1
"1930",2004,"F**k It (I Don't Want You Back)","Eamon",98,21,1
"1931",2017,"F**k Love","XXXTentacion Featuring Trippie Redd",41,7,1
"1932",2018,"F**k Love","XXXTENTACION Featuring Trippie Redd",41,20,2
"1933",2017,"F**k That Check Up","Meek Mill Featuring Lil Uzi Vert",97,1,1
"1934",2010,"F**k Today","Lil Wayne Featuring Gudda",76,1,1
"1935",2011,"F**k You! (Forget You)","Cee Lo Green",96,48,1
"1936",2013,"F**kin Problems","A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",73,27,1
"1937",2011,"F**kin' Perfect","P!nk",86,30,2
"1938",2009,"F*ck You","Lily Allen",68,2,1
"1939",2013,"F*ckwithmeyouknowigotit","Jay Z Featuring Rick Ross",64,9,1
"1940",2019,"F&N","Future",83,1,1
"1941",2007,"Fabulous","Ashley Tisdale & Lucas Grabeel",76,1,1
"1942",2003,"Fabulous","Jaheim Featuring Tha Rayne",69,20,1
"1943",2007,"Face Down","The Red Jumpsuit Apparatus",100,43,3
"1944",2009,"Face Drop","Sean Kingston",98,9,2
"1945",2019,"Face My Fears","Hikaru Utada & Skrillex",98,1,1
"1946",2016,"Fade","Kanye West",98,13,1
"1947",2002,"Fade","Staind",76,17,1
"1948",2012,"Fade Into You","Sam Palladio & Clare Bowen",92,1,1
"1949",2016,"Faded","Alan Walker",96,8,2
"1950",2000,"Faded","SoulDecision Featuring Thrust",94,24,1
"1951",2012,"Faded","Tyga Featuring Lil Wayne",52,22,1
"1952",2015,"Failure","Breaking Benjamin",80,1,1
"1953",2003,"Faint","Linkin Park",73,20,1
"1954",2015,"Fairly Local","twenty one pilots",84,1,1
"1955",2017,"Faith","George Michael",47,21,2
"1956",2016,"Faithful","Drake Featuring Pimp C & dvsn",90,2,2
"1957",2010,"Faithfully","Glee Cast",37,1,1
"1958",2008,"Fake It","Seether",100,20,2
"1959",2018,"Fake Love","BTS",10,6,1
"1960",2017,"Fake Love","Drake",24,25,1
"1961",2019,"Fake Smile","Ariana Grande",26,2,1
"1962",2017,"Faking It","Calvin Harris Featuring Kehlani & Lil Yachty",100,4,1
"1963",2008,"Fall","Clay Walker",94,18,1
"1964",2018,"Fall","Eminem",12,4,1
"1965",2013,"Fall Down","will.i.am Featuring Miley Cyrus",58,1,1
"1966",2009,"Fall For You","Secondhand Serenade",85,30,1
"1967",2011,"Fall For Your Type","Jamie Foxx Featuring Drake",95,18,1
"1968",2003,"Fall Into Me","Emerson Drive",73,20,1
"1969",2005,"Fall To Pieces","Velvet Revolver",77,20,1
"1970",2004,"Fallen","Mya",68,12,1
"1971",2004,"Fallen","Sarah McLachlan",73,21,1
"1972",2002,"Fallin'","Alicia Keys",98,34,1
"1973",2010,"Fallin' For You","Colbie Caillat",12,31,1
"1974",2018,"Falling Down","Lil Peep & XXXTENTACION",47,11,1
"1975",2010,"Falling Down","Selena Gomez & The Scene",93,7,2
"1976",2008,"Falling In Love At A Coffee Shop","Landon Pigg",93,2,1
"1977",2009,"Falling Slowly","Kris Allen",94,1,1
"1978",2010,"Falling Slowly","Lee DeWyze & Crystal Bowersox",66,2,1
"1979",2008,"Falling Slowly","The Swell Season (Glen Hansard & Marketa Irglova)",61,3,1
"1980",2000,"Falls Apart","Sugar Ray",70,20,1
"1981",2004,"Falls On Me","Fuel",65,14,1
"1982",2016,"False Alarm","The Weeknd",68,4,3
"1983",2016,"False Prophets","J. Cole",93,2,1
"1984",2008,"Falsetto","The-Dream",84,19,1
"1985",2002,"Family Affair","Mary J. Blige",76,41,1
"1986",2017,"Family Feud","JAY-Z Featuring Beyonce",51,1,1
"1987",2011,"Family Man","Craig Campbell",86,6,1
"1988",2003,"Family Portrait","P!nk",58,20,1
"1989",2017,"Famous","21 Savage",94,1,1
"1990",2016,"Famous","Kanye West",90,14,3
"1991",2018,"Famous","Lil Wayne Featuring Reginae Carter",36,1,1
"1992",2018,"Famous","Mason Ramsey",62,2,1
"1993",2007,"Famous In A Small Town","Miranda Lambert",95,8,1
"1994",2007,"Famous Last Words","My Chemical Romance",99,7,3
"1995",2010,"Fancy","Drake Featuring T.I. & Swizz Beatz",99,20,2
"1996",2014,"Fancy","Iggy Azalea Featuring Charli XCX",88,39,1
"1997",2011,"Far Away","Marsha Ambrosius",92,18,2
"1998",2007,"Far Away","Nickelback",72,30,1
"1999",2011,"Far Away","Tyga Featuring Chris Richardson",98,7,3
"2000",2010,"Farmer's Daughter","Rodney Atkins",96,21,1
"2001",2019,"Fast","Juice WRLD",47,2,1
"2002",2017,"Fast","Luke Bryan",81,13,1
"2003",2016,"Fast Car","Jonas Blue Featuring Dakota",100,5,2
"2004",2005,"Fast Cars And Freedom","Rascal Flatts",86,20,1
"2005",2011,"Fast Lane","Bad Meets Evil",32,2,1
"2006",2011,"Faster","Matt Nathanson",99,12,1
"2007",2012,"Fastest Girl In Town","Miranda Lambert",94,19,1
"2008",2011,"Fat Bottomed Girls","Glee Cast",56,1,1
"2009",2001,"Fat Lip","Sum 41",96,12,2
"2010",2016,"Father Stretch My Hands Pt. 1","Kanye West",100,23,4
"2011",2002,"Fatty Girl","Ludacris, LL Cool J & Keith Murray",99,14,2
"2012",2019,"Faucet Failure","Ski Mask The Slump God",100,11,1
"2013",2009,"Favorite Girl","Justin Bieber",26,2,1
"2014",2017,"Fear.","Kendrick Lamar",50,2,1
"2015",2010,"Fearless","Taylor Swift",99,15,4
"2016",2013,"Feds Watching","2 Chainz Featuring Pharrell",67,13,1
"2017",2017,"Feed Me Dope","Future",68,1,1
"2018",2008,"Feedback","Janet",84,17,1
"2019",2016,"Feedback","Kanye West",99,1,1
"2020",2013,"Feel Again","OneRepublic",61,20,1
"2021",2006,"Feel Good Inc","Gorillaz",74,45,1
"2022",2003,"Feel Good Time","P!nk Featuring William Orbit",69,5,1
"2023",2010,"Feel It","Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida",78,2,1
"2024",2002,"Feel It Boy","Beenie Man Featuring Janet",65,12,1
"2025",2018,"Feel It Still","Portugal. The Man",89,44,1
"2026",2012,"Feel Like A Rock Star","Kenny Chesney & Tim McGraw",40,7,1
"2027",2016,"Feel No Ways","Drake",53,6,1
"2028",2012,"Feel So Close","Calvin Harris",90,26,1
"2029",2009,"Feel That Fire","Dierks Bentley",82,21,1
"2030",2002,"Feel The Girl","Ms. Jade",98,4,1
"2031",2018,"Feel The Love","KIDS SEE GHOSTS",47,1,1
"2032",2013,"Feel This Moment","Pitbull Featuring Christina Aguilera",99,24,1
"2033",2017,"Feel.","Kendrick Lamar",35,2,1
"2034",2003,"Feelin' Freaky","Nick Cannon Featuring B2K",93,3,1
"2035",2014,"Feelin' It","Scotty McCreery",96,11,1
"2036",2014,"Feelin' Myself","will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",96,2,1
"2037",2001,"Feelin' On Yo Booty","R. Kelly",74,19,1
"2038",2000,"Feelin' So Good","Jennifer Lopez Featuring Big Pun & Fat Joe",79,17,2
"2039",2004,"Feelin' Way Too Damn Good","Nickelback",73,16,1
"2040",2015,"Feeling Myself","Nicki Minaj Featuring Beyonce",100,20,3
"2041",2017,"Feels","Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",51,18,1
"2042",2002,"Feels Good (Don't Worry Bout A Thing)","Naughty By Nature Featuring 3LW",93,20,1
"2043",2006,"Feels Just Like It Should","Pat Green",90,3,1
"2044",2001,"Feels Like Love","Vince Gill",91,20,2
"2045",2018,"Feels Like Summer","Childish Gambino",54,2,1
"2046",2004,"Feels Like Today","Rascal Flatts",73,13,1
"2047",2008,"Feels Like Tonight","Daughtry",89,20,1
"2048",2018,"FEFE","6ix9ine Featuring Nicki Minaj & Murda Beatz",4,20,1
"2049",2017,"Felices Los 4","Maluma",93,20,1
"2050",2019,"Feliz Navidad","Jose Feliciano",44,4,2
"2051",2011,"Felt Good On My Lips","Tim McGraw",26,20,1
"2052",2018,"Female","Keith Urban",99,6,3
"2053",2007,"Fergalicious","Fergie",79,27,1
"2054",2017,"Fetish","Selena Gomez Featuring Gucci Mane",92,12,1
"2055",2014,"Fever","The Black Keys",83,3,2
"2056",2007,"Fidelity","Regina Spektor",98,13,2
"2057",2001,"Fiesta","R. Kelly Featuring Jay-Z",73,21,1
"2058",2010,"Fifteen","Taylor Swift",94,21,3
"2059",2011,"Fight For You","Jason Derulo",83,1,1
"2060",2014,"Fight Night","Migos",95,16,1
"2061",2015,"Fight Song","Rachel Platten",80,31,1
"2062",2003,"Fighter","Christina Aguilera",61,20,1
"2063",2004,"Figured You Out","Nickelback",76,19,1
"2064",2001,"Fill Me In","Craig David",69,27,1
"2065",2018,"Filthy","Justin Timberlake",9,6,1
"2066",2018,"Final Fantasy","Drake",56,1,1
"2067",2012,"Finally Found You","Enrique Iglesias Featuring Sammy Adams",94,14,1
"2068",2003,"Find A Way","Dwele",99,12,1
"2069",2007,"Find Out Who Your Friends Are","Tracy Lawrence",94,20,1
"2070",2010,"Find Your Love","Drake",34,21,1
"2071",2010,"Finding My Way Back","Jaheim",95,1,1
"2072",2003,"Fine Again","Seether",72,20,1
